166,340
146,310
136,280
132,255
129,238
130,226
133,221
131,221
131,220
131,220
132,218
126,221
122,222
114,222
113,222
136,232
136,235
119,232
124,234
125,231
129,231
134,232
138,228
141,229
143,232
143,232
145,230
145,230
144,232
144,230
138,226
131,229
138,228
145,231
152,248
145,236
142,232
143,234
146,235
144,232
145,235
144,233
141,235
135,234
137,232
150,242
154,248
149,241
147,239
146,240
146,241
145,249
142,250
141,254
144,273
154,286
185,309
206,324
202,322
248,334
268,328
272,326
272,327
271,320
275,318
277,314
276,319
274,316
271,315
273,316
274,314
273,314
279,312
280,324
276,322
281,324
280,314
275,312
280,314
277,315
272,316
275,315
274,315
278,316
277,316
286,335
282,334
283,328
283,317
277,317
282,325
284,324
279,313
286,316
288,333
287,330
280,315
279,315
280,326
287,330
284,326
273,316
276,319
279,318
281,325
284,329
281,316
277,317
282,314
290,334
288,328
282,320
278,311
282,316
283,303
292,227
282,182
283,165
286,128
284,113
279,112
274,112
274,111
275,108
275,108
275,109
275,110
275,106
276,104
273,104
277,100
281,98
281,98
288,121
290,106
283,103
282,103
281,103
278,105
277,104
276,104
276,105
276,104
277,104
277,103
277,103
276,103
278,101
287,123
288,123
286,105
283,105
282,105
280,106
280,103
279,105
279,105
279,104
280,106
279,105
277,103
277,102
284,119
284,113
284,104
280,106
280,105
280,105
280,102
279,104
279,105
279,105
279,103
278,104
281,101
287,100
288,122
284,107
280,107
282,104
283,105
280,105
280,104
279,106
280,106
279,105
283,106
285,114
286,140
289,158
285,218
275,281
255,406
288,332
287,328
290,335
284,318
297,359
271,309
264,315
268,314
274,324
277,326
280,323
277,316
275,320
278,318
281,321
279,325
273,318
278,314
289,339
278,324
278,321
277,316
281,319
278,321
281,328
279,322
279,321
280,332
284,330
280,322
278,323
285,334
280,327
285,342
283,330
286,330
284,332
285,335
285,334
284,336
285,338
287,340
287,342
291,350
297,350
309,350
319,347
330,342
402,273
417,248
430,222
433,220
432,220
433,218
431,220
430,223
429,222
426,224
419,228
407,239
343,283
344,286
293,332
287,359
280,348
279,358
277,352
299,403
277,353
272,356
279,356
277,364
279,354
269,351
270,348
273,352
273,353
269,346
276,351
274,349
268,347
271,345
276,351
275,347
268,347
279,349
277,352
273,345
271,345
273,345
274,345
273,346
274,345
274,346
274,345
274,345
273,344
274,344
274,343
274,342
275,339
277,339
278,339
277,338
273,337
267,335
235,328
218,322
205,291
216,266
233,212
247,183
262,135
269,123
271,105
270,99
271,97
268,97
269,98
271,97
271,104
275,124
279,110
280,105
280,108
282,107
280,109
281,109
280,110
279,111
277,105
273,102
267,103
275,125
274,127
278,106
277,106
278,109
279,109
280,108
281,107
280,109
281,111
281,109
281,109
281,111
280,108
267,102
265,103
264,103
261,105
275,125
275,116
278,108
279,108
280,106
280,109
282,108
282,108
282,109
283,108
281,111
283,110
283,112
284,110
283,110
282,109
282,110
280,107
280,107
279,109
287,106
292,101
298,95
299,94
297,94
291,92
295,93
294,121
297,116
299,106
299,106
300,107
294,113
294,112
293,113
292,116
292,115
294,108
293,95
293,93
295,93
295,93
299,93
297,125
296,127
299,109
300,107
302,108
298,109
297,109
297,108
296,108
297,109
296,109
296,110
294,111
291,116
290,119
279,146
275,167
262,223
255,250
256,249
247,305
274,325
283,317
284,293
290,268
290,241
285,186
283,163
276,119
283,109
280,91
280,90
285,103
285,119
291,110
293,106
295,112
295,110
293,116
293,115
293,112
292,116
291,115
287,104
285,99
282,100
285,104
286,129
285,127
291,109
290,108
292,109
292,109
292,111
292,112
288,106
287,102
285,99
290,105
292,129
288,129
297,113
291,116
287,128
288,142
282,201
280,235
270,308
267,345
268,380
272,388
290,356
287,304
289,253
288,232
290,208
285,188
284,168
277,132
274,121
280,106
286,107
291,106
292,107
289,107
288,99
287,93
284,92
282,94
289,124
293,120
291,105
290,105
294,104
293,110
293,110
289,110
290,110
289,112
285,127
281,156
273,186
262,260
253,293
256,345
258,363
262,376
262,373
267,364
279,363
271,363
279,358
275,359
274,361
277,361
278,359
279,359
280,358
280,360
280,362
281,361
278,362
279,361
282,362
280,363
282,364
277,356
247,327
245,326
167,382
200,464
224,333
202,312
181,291
163,275
152,262
142,249
139,237
141,233
141,232
140,229
141,234
139,231
130,234
130,235
130,233
146,246
139,231
133,233
133,231
149,245
131,233
146,245
141,241
133,233
139,240
134,233
136,234
130,233
141,246
141,246
129,233
130,234
142,245
133,234
140,240
142,247
144,263
147,277
170,296
213,317
237,332
