321,122
322,124
322,123
322,124
322,123
322,123
322,123
323,124
322,124
322,123
322,123
321,122
322,122
322,120
322,118
322,117
322,116
325,113
328,117
329,127
331,126
330,124
329,121
326,117
326,116
325,115
326,115
325,114
325,113
326,114
327,113
327,113
329,113
330,113
329,113
329,113
328,113
328,113
331,124
334,130
334,126
334,129
332,120
331,120
330,119
329,119
327,119
326,120
323,120
322,120
322,121
318,122
321,121
321,121
322,121
323,120
323,120
322,122
323,121
321,122
321,122
